#2012 winter  profile from Labrador Sea Station Bravo, data downloaded using Argo Marine Atlas
#P  T  S
0     3.458      34.82 
10     	3.458	   34.81
20     	3.466	   34.81
30     	3.502	   34.81
40     	3.464	   34.81
50     	3.42	   34.81
60     	3.333	   34.8
70     	3.293	   34.79
80     	3.26	   34.78
90     	3.263	   34.78
100    	3.252	   34.78
110    	3.226	   34.77
120    	3.226	   34.77
130    	3.244	   34.77
140    	3.227	   34.77
150    	3.229	   34.77
160    	3.229	   34.77
170    	3.233	   34.78
182.5  	3.237	   34.78
200    	3.258	   34.78
220    	3.313	   34.79
240    	3.422	   34.81
260    	3.451	   34.81
280    	3.45	   34.81
300    	3.454	   34.81
320    	3.49	   34.81
340    	3.496	   34.81
360    	3.505	   34.82
380    	3.526	   34.82
400    	3.569	   34.82
420    	3.588	   34.83
440    	3.596	   34.83
462.5  	3.586	   34.83
500    	3.549	   34.82
550    	3.513	   34.82
600    	3.503	   34.82
650    	3.525	   34.82
700    	3.55	   34.82
750    	3.648	   34.84
800    	3.754	   34.86
850    	3.758	   34.86
900    	3.767	   34.87
950    	3.759	   34.87
1000   	3.741	   34.87
1050   	3.715	   34.87
1100   	3.689	   34.87
1150   	3.667	   34.87
1200   	3.646	   34.87
1250   	3.632	   34.87
